data,noise,nsensors,anomaly count,wave len,precision,recall,anomaly_normal_ratio,noise direction,eps,min_samples
77,0.5,1,1,1,0.6612903225806451,1.0,2.5e-05,n,0.5,2
77,0.5,1,5,1,0.6818181818181818,1.0,0.00013,n,0.5,2
77,0.5,1,10,1,0.7692307692307693,1.0,0.00024,n,0.5,2
77,0.5,2,1,1,0.6612903225806451,1.0,2.5e-05,n,0.5,2
77,0.5,2,5,1,0.671875,0.9555555555555556,0.00013,n,0.5,2
77,0.5,2,10,1,0.7540983606557377,0.92,0.00024,n,0.5,2
77,0.5,3,1,1,0.6612903225806451,1.0,2.5e-05,n,0.5,2
77,0.5,3,5,1,0.671875,0.9555555555555556,0.00013,n,0.5,2
77,0.5,3,10,1,0.7586206896551724,0.88,0.00024,n,0.5,2
77,0.25,1,1,1,0.6612903225806451,1.0,2.5e-05,n,0.5,2
77,0.25,1,5,1,0.6818181818181818,1.0,0.00013,n,0.5,2
77,0.25,1,10,1,0.704225352112676,1.0,0.00024,n,0.5,2
77,0.25,2,1,1,0.6612903225806451,1.0,2.5e-05,n,0.5,2
77,0.25,2,5,1,0.6818181818181818,1.0,0.00013,n,0.5,2
77,0.25,2,10,1,0.704225352112676,1.0,0.00024,n,0.5,2
77,0.25,3,1,1,0.6612903225806451,1.0,2.5e-05,n,0.5,2
77,0.25,3,5,1,0.6818181818181818,1.0,0.00013,n,0.5,2
77,0.25,3,10,1,0.7058823529411765,0.96,0.00024,n,0.5,2
77,0.1,1,1,1,0.6612903225806451,1.0,2.5e-05,n,0.5,2
77,0.1,1,5,1,0.6818181818181818,1.0,0.00013,n,0.5,2
77,0.1,1,10,1,0.704225352112676,1.0,0.00024,n,0.5,2
77,0.1,2,1,1,0.6612903225806451,1.0,2.5e-05,n,0.5,2
77,0.1,2,5,1,0.6818181818181818,1.0,0.00013,n,0.5,2
77,0.1,2,10,1,0.704225352112676,1.0,0.00024,n,0.5,2
77,0.1,3,1,1,0.6612903225806451,1.0,2.5e-05,n,0.5,2
77,0.1,3,5,1,0.6818181818181818,1.0,0.00013,n,0.5,2
77,0.1,3,10,1,0.704225352112676,1.0,0.00024,n,0.5,2
77,0.5,1,1,15,0.9649122807017544,1.0,2.5e-05,n,0.5,2
77,0.5,1,5,15,1.0,0.6086956521739131,0.00013,n,0.5,2
77,0.5,1,10,15,1.0,0.4473684210526316,0.00024,n,0.5,2
77,0.5,2,1,15,0.9649122807017544,1.0,2.5e-05,n,0.5,2
77,0.5,2,5,15,1.0,0.6086956521739131,0.00013,n,0.5,2
77,0.5,2,10,15,1.0,0.3684210526315789,0.00024,n,0.5,2
77,0.5,3,1,15,0.9649122807017544,1.0,2.5e-05,n,0.5,2
77,0.5,3,5,15,1.0,0.6086956521739131,0.00013,n,0.5,2
77,0.5,3,10,15,1.0,0.3684210526315789,0.00024,n,0.5,2
77,0.25,1,1,15,0.8870967741935484,1.0,2.5e-05,n,0.5,2
77,0.25,1,5,15,1.0,0.7391304347826086,0.00013,n,0.5,2
77,0.25,1,10,15,1.0,0.6052631578947368,0.00024,n,0.5,2
77,0.25,2,1,15,0.8870967741935484,1.0,2.5e-05,n,0.5,2
77,0.25,2,5,15,1.0,0.7391304347826086,0.00013,n,0.5,2
77,0.25,2,10,15,1.0,0.6052631578947368,0.00024,n,0.5,2
77,0.25,3,1,15,0.873015873015873,1.0,2.5e-05,n,0.5,2
77,0.25,3,5,15,1.0,0.7391304347826086,0.00013,n,0.5,2
77,0.25,3,10,15,1.0,0.5263157894736842,0.00024,n,0.5,2
77,0.1,1,1,15,0.859375,1.0,2.5e-05,n,0.5,2
77,0.1,1,5,15,1.0,0.6086956521739131,0.00013,n,0.5,2
77,0.1,1,10,15,1.0,0.5263157894736842,0.00024,n,0.5,2
77,0.1,2,1,15,0.859375,1.0,2.5e-05,n,0.5,2
77,0.1,2,5,15,1.0,0.6086956521739131,0.00013,n,0.5,2
77,0.1,2,10,15,1.0,0.5263157894736842,0.00024,n,0.5,2
77,0.1,3,1,15,0.859375,1.0,2.5e-05,n,0.5,2
77,0.1,3,5,15,1.0,0.6086956521739131,0.00013,n,0.5,2
77,0.1,3,10,15,1.0,0.4473684210526316,0.00024,n,0.5,2
77,0.5,1,1,60,1.0,1.0,2.5e-05,n,0.5,2
77,0.5,1,5,60,1.0,0.6470588235294118,0.00013,n,0.5,2
77,0.5,1,10,60,1.0,0.625,0.00024,n,0.5,2
77,0.5,2,1,60,1.0,1.0,2.5e-05,n,0.5,2
77,0.5,2,5,60,1.0,0.6470588235294118,0.00013,n,0.5,2
77,0.5,2,10,60,1.0,0.53125,0.00024,n,0.5,2
77,0.5,3,1,60,1.0,1.0,2.5e-05,n,0.5,2
77,0.5,3,5,60,1.0,0.6470588235294118,0.00013,n,0.5,2
77,0.5,3,10,60,1.0,0.53125,0.00024,n,0.5,2
77,0.25,1,1,60,1.0,1.0,2.5e-05,n,0.5,2
77,0.25,1,5,60,1.0,0.8235294117647058,0.00013,n,0.5,2
77,0.25,1,10,60,1.0,0.71875,0.00024,n,0.5,2
77,0.25,2,1,60,1.0,1.0,2.5e-05,n,0.5,2
77,0.25,2,5,60,1.0,0.8235294117647058,0.00013,n,0.5,2
77,0.25,2,10,60,1.0,0.71875,0.00024,n,0.5,2
77,0.25,3,1,60,1.0,1.0,2.5e-05,n,0.5,2
77,0.25,3,5,60,1.0,0.8235294117647058,0.00013,n,0.5,2
77,0.25,3,10,60,1.0,0.71875,0.00024,n,0.5,2
77,0.1,1,1,60,1.0,1.0,2.5e-05,n,0.5,2
77,0.1,1,5,60,1.0,0.47058823529411764,0.00013,n,0.5,2
77,0.1,1,10,60,1.0,0.4375,0.00024,n,0.5,2
77,0.1,2,1,60,1.0,1.0,2.5e-05,n,0.5,2
77,0.1,2,5,60,1.0,0.47058823529411764,0.00013,n,0.5,2
77,0.1,2,10,60,1.0,0.4375,0.00024,n,0.5,2
77,0.1,3,1,60,1.0,1.0,2.5e-05,n,0.5,2
77,0.1,3,5,60,1.0,0.47058823529411764,0.00013,n,0.5,2
77,0.1,3,10,60,1.0,0.4375,0.00024,n,0.5,2
