data,noise,nsensors,anomaly count,wave len,precision,recall,anomaly_normal_ratio,noise direction
77,0.5,1,1,1,0.9761904761904762,1.0,2.5e-05,n
77,0.5,1,5,1,0.9111111111111111,0.9111111111111111,0.00013,n
77,0.5,1,10,1,0.8367346938775511,0.82,0.00024,n
77,0.5,2,1,1,0.9761904761904762,1.0,2.5e-05,n
77,0.5,2,5,1,0.9111111111111111,0.9111111111111111,0.00013,n
77,0.5,2,10,1,0.8367346938775511,0.82,0.00024,n
77,0.5,3,1,1,0.9761904761904762,1.0,2.5e-05,n
77,0.5,3,5,1,0.9111111111111111,0.9111111111111111,0.00013,n
77,0.5,3,10,1,0.8367346938775511,0.82,0.00024,n
77,0.25,1,1,1,0.9761904761904762,1.0,2.5e-05,n
77,0.25,1,5,1,0.9111111111111111,0.9111111111111111,0.00013,n
77,0.25,1,10,1,0.8367346938775511,0.82,0.00024,n
77,0.25,2,1,1,0.9761904761904762,1.0,2.5e-05,n
77,0.25,2,5,1,0.9111111111111111,0.9111111111111111,0.00013,n
77,0.25,2,10,1,0.8367346938775511,0.82,0.00024,n
77,0.25,3,1,1,0.9761904761904762,1.0,2.5e-05,n
77,0.25,3,5,1,0.9111111111111111,0.9111111111111111,0.00013,n
77,0.25,3,10,1,0.8367346938775511,0.82,0.00024,n
77,0.1,1,1,1,0.9761904761904762,1.0,2.5e-05,n
77,0.1,1,5,1,0.9111111111111111,0.9111111111111111,0.00013,n
77,0.1,1,10,1,0.8367346938775511,0.82,0.00024,n
77,0.1,2,1,1,0.9761904761904762,1.0,2.5e-05,n
77,0.1,2,5,1,0.9111111111111111,0.9111111111111111,0.00013,n
77,0.1,2,10,1,0.8367346938775511,0.82,0.00024,n
77,0.1,3,1,1,0.9761904761904762,1.0,2.5e-05,n
77,0.1,3,5,1,0.9111111111111111,0.9111111111111111,0.00013,n
77,0.1,3,10,1,0.82,0.82,0.00024,n
77,0.5,1,1,15,1.0,1.0,2.5e-05,n
77,0.5,1,5,15,0.47413793103448276,0.4782608695652174,0.00013,n
77,0.5,1,10,15,0.5263157894736842,0.5263157894736842,0.00024,n
77,0.5,2,1,15,1.0185185185185186,1.0,2.5e-05,n
77,0.5,2,5,15,0.47413793103448276,0.4782608695652174,0.00013,n
77,0.5,2,10,15,0.4473684210526316,0.4473684210526316,0.00024,n
77,0.5,3,1,15,1.0,1.0,2.5e-05,n
77,0.5,3,5,15,0.47413793103448276,0.4782608695652174,0.00013,n
77,0.5,3,10,15,0.6052631578947368,0.6052631578947368,0.00024,n
77,0.25,1,1,15,1.0,1.0,2.5e-05,n
77,0.25,1,5,15,0.47413793103448276,0.4782608695652174,0.00013,n
77,0.25,1,10,15,0.4473684210526316,0.4473684210526316,0.00024,n
77,0.25,2,1,15,1.0185185185185186,1.0,2.5e-05,n
77,0.25,2,5,15,0.47413793103448276,0.4782608695652174,0.00013,n
77,0.25,2,10,15,0.4473684210526316,0.4473684210526316,0.00024,n
77,0.25,3,1,15,1.0185185185185186,1.0,2.5e-05,n
77,0.25,3,5,15,0.47413793103448276,0.4782608695652174,0.00013,n
77,0.25,3,10,15,0.4473684210526316,0.4473684210526316,0.00024,n
77,0.1,1,1,15,1.0,1.0,2.5e-05,n
77,0.1,1,5,15,0.47413793103448276,0.4782608695652174,0.00013,n
77,0.1,1,10,15,0.5263157894736842,0.5263157894736842,0.00024,n
77,0.1,2,1,15,1.0,1.0,2.5e-05,n
77,0.1,2,5,15,0.47413793103448276,0.4782608695652174,0.00013,n
77,0.1,2,10,15,0.5263157894736842,0.5263157894736842,0.00024,n
77,0.1,3,1,15,1.0377358490566038,1.0,2.5e-05,n
77,0.1,3,5,15,0.47413793103448276,0.4782608695652174,0.00013,n
77,0.1,3,10,15,0.5263157894736842,0.5263157894736842,0.00024,n
77,0.5,1,1,60,1.0,1.0,2.5e-05,n
77,0.5,1,5,60,0.9970674486803519,1.0,0.00013,n
77,0.5,1,10,60,1.0,1.0,0.00024,n
77,0.5,2,1,60,1.0,1.0,2.5e-05,n
77,0.5,2,5,60,0.9970674486803519,1.0,0.00013,n
77,0.5,2,10,60,1.001564945226917,1.0,0.00024,n
77,0.5,3,1,60,1.0,1.0,2.5e-05,n
77,0.5,3,5,60,1.0,1.0,0.00013,n
77,0.5,3,10,60,1.0031347962382444,1.0,0.00024,n
77,0.25,1,1,60,1.0,1.0,2.5e-05,n
77,0.25,1,5,60,0.8211143695014663,0.8235294117647058,0.00013,n
77,0.25,1,10,60,0.9090909090909091,0.90625,0.00024,n
77,0.25,2,1,60,0.4,0.4,2.5e-05,n
77,0.25,2,5,60,0.8211143695014663,0.8235294117647058,0.00013,n
77,0.25,2,10,60,1.0,1.0,0.00024,n
77,0.25,3,1,60,0.4,0.4,2.5e-05,n
77,0.25,3,5,60,0.8211143695014663,0.8235294117647058,0.00013,n
77,0.25,3,10,60,1.0,1.0,0.00024,n
77,0.1,1,1,60,1.0,1.0,2.5e-05,n
77,0.1,1,5,60,0.8211143695014663,0.8235294117647058,0.00013,n
77,0.1,1,10,60,0.8150470219435737,0.8125,0.00024,n
77,0.1,2,1,60,1.0,1.0,2.5e-05,n
77,0.1,2,5,60,0.8211143695014663,0.8235294117647058,0.00013,n
77,0.1,2,10,60,0.7198748043818466,0.71875,0.00024,n
77,0.1,3,1,60,1.0,1.0,2.5e-05,n
77,0.1,3,5,60,0.8235294117647058,0.8235294117647058,0.00013,n
77,0.1,3,10,60,0.90625,0.90625,0.00024,n
