data,noise,anomaly count,wave len,precision,recall,anomaly_normal_ratio,noise direction,m
77,0.5,1,1,0.5079365079365079,0.3018867924528302,2.5e-05,p,1.0
77,0.5,1,1,0.24358974358974358,0.3584905660377358,2.5e-05,p,1.5
77,0.5,1,1,0.1971153846153846,0.3867924528301887,2.5e-05,p,2.0
77,0.5,5,1,0.33653846153846156,0.3181818181818182,0.00013,p,1.0
77,0.5,5,1,0.2578616352201258,0.37272727272727274,0.00013,p,1.5
77,0.5,5,1,0.21226415094339623,0.4090909090909091,0.00013,p,2.0
77,0.5,10,1,0.33653846153846156,0.30434782608695654,0.00024,p,1.0
77,0.5,10,1,0.2804878048780488,0.4,0.00024,p,1.5
77,0.5,10,1,0.2304147465437788,0.43478260869565216,0.00024,p,2.0
77,0.25,1,1,0.5079365079365079,0.3018867924528302,2.5e-05,p,1.0
77,0.25,1,1,0.23870967741935484,0.3490566037735849,2.5e-05,p,1.5
77,0.25,1,1,0.1932367149758454,0.37735849056603776,2.5e-05,p,2.0
77,0.25,5,1,0.5079365079365079,0.2909090909090909,0.00013,p,1.0
77,0.25,5,1,0.23870967741935484,0.33636363636363636,0.00013,p,1.5
77,0.25,5,1,0.1932367149758454,0.36363636363636365,0.00013,p,2.0
77,0.25,10,1,0.5079365079365079,0.2782608695652174,0.00024,p,1.0
77,0.25,10,1,0.23870967741935484,0.3217391304347826,0.00024,p,1.5
77,0.25,10,1,0.1932367149758454,0.34782608695652173,0.00024,p,2.0
77,0.1,1,1,0.5079365079365079,0.3018867924528302,2.5e-05,p,1.0
77,0.1,1,1,0.23870967741935484,0.3490566037735849,2.5e-05,p,1.5
77,0.1,1,1,0.1932367149758454,0.37735849056603776,2.5e-05,p,2.0
77,0.1,5,1,0.5079365079365079,0.2909090909090909,0.00013,p,1.0
77,0.1,5,1,0.23870967741935484,0.33636363636363636,0.00013,p,1.5
77,0.1,5,1,0.1932367149758454,0.36363636363636365,0.00013,p,2.0
77,0.1,10,1,0.5079365079365079,0.2782608695652174,0.00024,p,1.0
77,0.1,10,1,0.23870967741935484,0.3217391304347826,0.00024,p,1.5
77,0.1,10,1,0.1932367149758454,0.34782608695652173,0.00024,p,2.0
77,0.5,1,15,0.53125,0.2833333333333333,2.5e-05,p,1.0
77,0.5,1,15,0.3076923076923077,0.43333333333333335,2.5e-05,p,1.5
77,0.5,1,15,0.248868778280543,0.4583333333333333,2.5e-05,p,2.0
77,0.5,5,15,0.40869565217391307,0.2611111111111111,0.00013,p,1.0
77,0.5,5,15,0.4823008849557522,0.6055555555555555,0.00013,p,1.5
77,0.5,5,15,0.3388888888888889,0.6777777777777778,0.00013,p,2.0
77,0.5,10,15,0.4728682170542636,0.23921568627450981,0.00024,p,1.0
77,0.5,10,15,0.5337078651685393,0.7450980392156863,0.00024,p,1.5
77,0.5,10,15,0.4249471458773784,0.788235294117647,0.00024,p,2.0
77,0.25,1,15,0.33980582524271846,0.2916666666666667,2.5e-05,p,1.0
77,0.25,1,15,0.24516129032258063,0.31666666666666665,2.5e-05,p,1.5
77,0.25,1,15,0.1875,0.375,2.5e-05,p,2.0
77,0.25,5,15,0.24516129032258063,0.2111111111111111,0.00013,p,1.0
77,0.25,5,15,0.1875,0.25,0.00013,p,1.5
77,0.25,5,15,0.1574074074074074,0.2833333333333333,0.00013,p,2.0
77,0.25,10,15,0.1908713692946058,0.1803921568627451,0.00024,p,1.0
77,0.25,10,15,0.1553133514986376,0.2235294117647059,0.00024,p,1.5
77,0.25,10,15,0.15,0.29411764705882354,0.00024,p,2.0
77,0.1,1,15,0.5238095238095238,0.275,2.5e-05,p,1.0
77,0.1,1,15,0.24516129032258063,0.31666666666666665,2.5e-05,p,1.5
77,0.1,1,15,0.1875,0.375,2.5e-05,p,2.0
77,0.1,5,15,0.24516129032258063,0.2111111111111111,0.00013,p,1.0
77,0.1,5,15,0.1875,0.25,0.00013,p,1.5
