data,noise,anomaly count,wave len,window,precision,recall,anomaly_normal_ratio,noise direction,m
77,0.5,1,1,20,1.0,1.0,2.5e-05,n,1.0
77,0.5,1,1,20,0.9111111111111111,1.0,2.5e-05,n,1.1
77,0.5,1,1,20,0.8367346938775511,1.0,2.5e-05,n,1.2
77,0.5,1,1,20,0.7735849056603774,1.0,2.5e-05,n,1.3
77,0.5,1,1,20,0.7192982456140351,1.0,2.5e-05,n,1.4
77,0.5,1,1,20,0.6612903225806451,1.0,2.5e-05,n,1.5
77,0.5,1,1,20,0.6212121212121212,1.0,2.5e-05,n,1.6
77,0.5,1,1,20,0.5857142857142857,1.0,2.5e-05,n,1.7
77,0.5,1,1,20,0.5540540540540541,1.0,2.5e-05,n,1.8
77,0.5,1,1,20,0.5256410256410257,1.0,2.5e-05,n,1.9
77,0.5,1,1,20,0.5,1.0,2.5e-05,n,2.0
77,0.5,5,1,20,0.9111111111111111,0.9111111111111111,0.00013,n,1.0
77,0.5,5,1,20,0.84,0.9333333333333333,0.00013,n,1.1
77,0.5,5,1,20,0.7777777777777778,0.9333333333333333,0.00013,n,1.2
77,0.5,5,1,20,0.7241379310344828,0.9333333333333333,0.00013,n,1.3
77,0.5,5,1,20,0.6666666666666666,0.9333333333333333,0.00013,n,1.4
77,0.5,5,1,20,0.6176470588235294,0.9333333333333333,0.00013,n,1.5
77,0.5,5,1,20,0.5833333333333334,0.9333333333333333,0.00013,n,1.6
77,0.5,5,1,20,0.5526315789473685,0.9333333333333333,0.00013,n,1.7
77,0.5,5,1,20,0.5185185185185185,0.9333333333333333,0.00013,n,1.8
77,0.5,5,1,20,0.4883720930232558,0.9333333333333333,0.00013,n,1.9
77,0.5,5,1,20,0.4666666666666667,0.9333333333333333,0.00013,n,2.0
77,0.5,10,1,20,0.84,0.84,0.00024,n,1.0
77,0.5,10,1,20,0.7636363636363637,0.84,0.00024,n,1.1
77,0.5,10,1,20,0.7,0.84,0.00024,n,1.2
